Unnamed: 0;n_ships;own_mmsi;obst_mmsi;own_name;obst_name;own_callsign;obst_callsign;own_length;obst_length;own_width;obst_width;own_type;obst_type;own_nav_status;obst_nav_status;own_speed;obst_speed;multi_man_own;maneuver_made_own;maneuver_index_own;maneuver_stop_idx_own;r_maneuver_own;pre_man_dist_own;pre_man_t_cpa_own;post_man_dist_own;post_man_t_cpa_own;delta_speed_own;delta_course_own;multi_man_obst;maneuver_made_obst;maneuver_index_obst;maneuver_stop_idx_obst;r_maneuver_obst;pre_man_dist_obst;pre_man_t_cpa_obst;post_man_dist_obst;post_man_t_cpa_obst;delta_speed_obst;delta_course_obst;alpha_start;beta_start;r_cpa;alpha_cpa;beta_cpa;lon_maneuver;lat_maneuver;COLREG;single_COLREG_type;time;date_cpa;cpa_idx;start_idx;stop_idx;case;dataset;COLREGS_not_filt;COLREGS_filt;img_name;img_class
29105;61;258999000;257555800;FJORDBRIS;;LFNF;;36.7;;;;;;0.0;0.0;16.511912878787882;3.2967558396464653;False;True;9;16;3264.460930996103;2358.0;11.0;2839.5;0.0;-0.0648961760404649;36.3662210008201;False;True;11;19;1807.172556785868;1114.1;12.0;5048.6;0.0;0.0590351825621955;23.86909054766708;169.52415135366326;14.524151353663294;317.8297185601135;-133.51511782156254;31.85988217843741;5.169233;60.0677;-2.0;True;00:11:00;2019-08-07 11:15:00;13;3;14;IZW1M;encs_west;2;2.0;./img/258999000-257555800-IZW1M_-2.0.png;False
29109;43;219347000;203253400;STAVANGERFJORD;203253400;OYOW2;;170.0;0.0;;0.0;;0.0;0.0;0.0;10.649267939814814;2.7088715277777777;False;True;4;9;2190.293306842715;652.0;7.0;732.4;0.0;0.110646965636219;10.48113844409177;False;False;5;5;1755.382875614319;;;;;0.0;0.0;-167.4688166699237;13.406183330076312;386.5657123957037;-50.81623936384351;118.93376063615652;5.36456;59.979468;-2.0;True;00:06:00;2019-08-07 13:24:00;9;2;8;SQRAI;encs_west;1;1.0;./img/219347000-203253400-SQRAI_-2.0.png;False
29111;43;257792770;258122170;;;;;;;;;;;0.0;0.0;3.429294704861111;2.7565983072916667;False;False;7;7;662.996003004543;;;;;0.0;0.0;False;False;7;7;662.996003004543;;;;;0.0;0.0;177.4146291210888;351.6021291210888;450.5855967516087;123.87014279092288;300.58889279092284;5.5213;59.7642;-2.0;True;00:12:00;2019-08-07 13:31:00;16;1;13;SQRAI;encs_west;2;2.0;;
29119;45;257792770;258122170;;;;;;;;;;;0.0;0.0;3.407692057291667;2.694302300347222;False;False;5;5;580.3850187591001;;;;;0.0;0.0;False;False;5;5;580.3850187591001;;;;;0.0;0.0;170.3683577084855;341.9621077084855;450.58559675160507;123.8701427909228;300.5888927909227;5.526114;59.767193;-2.0;True;00:08:00;2019-08-07 13:31:00;12;1;9;IV0N4;encs_west;2;2.0;;
29129;13;257933670;219018583;;219018583;;;;0.0;;0.0;;0.0;0.0;0.0;10.022020833333332;3.5647382812500004;False;False;13;13;2241.8315547783704;;;;;0.0;0.0;False;False;13;13;2241.8315547783704;;;;;0.0;0.0;-178.55369720877988;359.82130279122015;384.1846561225474;-128.91162301471013;54.338376985289806;5.329243;59.30518;-2.0;True;00:10:00;2019-08-08 12:06:00;18;8;18;7RL29;encs_west;1;1.0;;
29130;13;314319000;205502630;314319000;205502630;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.068836805555556;2.903223586309524;False;False;4;4;1121.6530167569647;;;;;0.0;0.0;False;False;4;4;1121.6530167569647;;;;;0.0;0.0;179.1224778620698;350.6224778620698;353.9130966777005;74.3413844956741;254.46638449567408;5.335602;59.249667;-2.0;True;00:07:00;2019-08-08 11:58:00;10;1;8;7RL29;encs_west;1;1.0;;
29158;8;257601800;205743000;KJELMOEY;KOKSIJDE;LG9390;ONJH;10.3;181.7;;;;;0.0;0.0;14.534395254629633;5.167665895061728;True;False;5;5;3227.5001378776124;;;;;0.0;0.0;True;False;5;5;3227.5001378776124;;;;;0.0;0.0;-177.01202232803288;9.862977671967071;475.82469460926495;-116.99168819452473;62.50831180547521;5.621692;59.30552;-2.0;True;00:09:00;2019-08-12 11:34:00;10;1;10;RD0EW;encs_west;1;1.0;;
29169;93;258161000;258297070;SEIVAAG;;LHDO;;56.0;;;;;;0.0;0.0;5.312672371031746;2.476625124007936;False;False;4;4;928.1059476158906;;;;;0.0;0.0;False;False;4;4;928.1059476158906;;;;;0.0;0.0;169.01658286388957;351.01658286388954;273.36400640904486;92.68010003517855;271.9301000351785;5.255671;60.161927;-2.0;True;00:07:00;2019-08-13 12:28:00;9;1;8;4J2ZP;encs_west;1;1.0;;
29173;93;258998000;257000340;TJELDEN;257000340;LFNL;;25.7;0.0;;0.0;;0.0;0.0;0.0;9.273779761904764;3.748095238095239;False;True;11;16;2549.591630045869;1387.5;14.0;1726.0;0.0;-0.1716632871032057;-12.49272959004942;False;False;10;10;2880.589608049019;;;;;0.0;0.0;160.42213824522602;39.79713824522606;1540.8325671532257;-142.83749498402858;75.78750501597142;5.18072;60.0822;-2.0;True;00:07:00;2019-08-13 12:35:00;16;7;14;4J2ZP;encs_west;1;1.0;./img/258998000-257000340-4J2ZP_-2.0.png;False
29179;133;219347000;257944500;STAVANGERFJORD;SENJABAS;OYOW2;LG9625;170.0;15.0;;;;;0.0;0.0;10.86953022875817;3.7403610089869286;True;False;9;9;4089.6416468928014;;;;;0.0;0.0;True;False;9;9;4089.6416468928014;;;;;0.0;0.0;-164.40696074669677;339.21803925330323;470.3202525939122;100.6517889724072;294.0267889724072;5.534637;59.882074;-2.0;True;00:17:00;2019-08-13 13:46:00;18;1;18;5V23N;encs_west;2;2.0;;
