own_mmsi;obst_mmsi;own_speed;obst_speed;r_maneuver_own;r_maneuver_obst;r_cpa;COLREG;pre_man_t_cpa_own
259216000;304783000;7.274565972222223;5.607444444444445;4110.615768957249;4110.615768957249;3801.876564277174;-2.0;0.0
257060530;257029700;9.129245370370372;5.861183449074074;1899.565008100542;1899.565008100542;685.4611951088119;-2.0;0.0
258242000;259301000;9.40669704861111;4.098139467592593;1487.612224338055;2156.283898284268;194.1847058859153;-2.0;17.0
258352500;257055860;17.767625000000002;8.742072337962963;4778.103356981723;4778.103356981723;470.9591277382684;-2.0;0.0
257175000;257025120;15.941749131944444;5.209754774305556;2304.3780462415566;2909.2004967000785;661.7165027411685;-2.0;12.0
258352500;257055860;17.778189484126987;8.86268353174603;2372.731573524498;3518.949357407693;464.0077262287802;-2.0;0.0
258352500;257055860;17.84157638888889;9.002777777777778;1296.934794043247;1841.8338388682075;454.9910109002151;-2.0;5.0
259330000;212979000;7.79865625;5.524651041666667;881.0557757599664;881.0557757599664;430.98316672464335;-2.0;8.0
257036360;257036840;11.92546527777778;7.3155607638888895;4958.022089503047;5609.295222218207;4958.022089503047;-2.0;16.0
257056190;257609800;8.723163442460319;2.9434145585317464;2104.941882808176;2827.4634940172086;507.3848736413024;-2.0;15.0
257884900;257382000;10.690798611111113;5.76740451388889;4459.889869716532;3059.5699632464684;640.8652432454079;-2.0;14.0
257953800;257609800;4.074560763888889;2.9323333333333337;4184.571801271912;4275.603107165128;4064.7131128777096;-2.0;13.0
258352500;209318000;15.572905618686868;5.887977430555555;9110.65923904522;5289.014624672539;4356.167435946419;-2.0;7.0
258999000;258773000;16.731501736111113;5.581521267361111;2679.4232886947893;2679.4232886947893;162.96640758143724;-2.0;0.0
257175000;257191000;15.318789062500002;4.281343315972222;3792.777706378263;2624.568659799173;189.70094886426344;-2.0;11.0
257175000;257262000;14.734010416666669;4.126005208333334;2711.0241607186017;2711.0241607186017;1204.6956171581296;-2.0;0.0
257000020;257191000;10.07611315359477;4.460725081699346;1706.6776204075595;4139.11632356473;351.52493510417906;-2.0;18.0
257000020;257191000;10.07611315359477;4.460725081699346;3402.742019313248;3402.742019313248;351.52493510417906;-2.0;0.0
257000020;257191000;10.322827932098766;4.44154899691358;1706.6776204075595;2040.2977282739805;351.52493510417906;-2.0;10.0
257694800;246403000;13.277757523148146;3.7680711082175935;7103.533758630279;7103.533758630279;3168.8309216491816;-2.0;0.0
258901000;258255000;5.771423611111112;4.495177556818181;722.7717758739773;722.7717758739773;290.70156518326326;-2.0;0.0
314292000;257228000;6.604180555555556;4.547206597222222;4618.77580858824;4929.897229151942;4532.544735576256;-2.0;17.0
257054580;257577000;5.727213541666667;4.788419415509259;621.7390208117873;576.6246959678364;209.3476773217224;-2.0;20.0
258053000;257033570;5.846446759259259;3.6014460358796296;1934.3148502764484;1934.3148502764484;1633.4365766689657;-2.0;0.0
258206500;257080050;13.135749421296296;3.909576822916667;4793.375579901911;4793.375579901911;3037.1797921756265;-2.0;0.0
257028000;259859000;14.420520833333333;5.238893229166667;2135.9320799126785;1567.9510100765208;193.0612338093768;-2.0;9.0
257144700;257154320;7.747096974206349;3.616039186507936;4711.483308895402;4711.483308895402;2104.1175941472534;-2.0;0.0
257299000;257029440;13.99449652777778;3.2924444444444445;4673.652709605193;5339.708984579598;3150.0068650718927;-2.0;9.0
259299000;257785500;13.624739583333332;2.7575026041666666;2797.4818909154656;2797.4818909154656;809.5144347076081;-2.0;0.0
259299000;257785500;13.624739583333332;2.7575026041666666;2679.485939504068;2679.485939504068;794.129240111456;-2.0;0.0
